money,credentials,urgency,scare,postal
bitcoin,username,confirm,suspend,delivery
bank,password,urgent,restrict,document
invoice,user,important,hold,shipment
transfer,pass,immediately,malware,order
wire,login,now,porn,parcel
pay,credential,update,hack,ticket
paid,log,verify,loss,package
refund,account,,recover,shipping
address,,,pending,tracking
statement,,,embarassed,
money,,,affected,
price,,,fuck,
bill,,,lost,
e-bill,,,die,
finance,,,disruption,
financial,,,,
statement,,,,
profit,,,,
invest,,,,
billion,,,,
million,,,,
thousand,,,,
payment,,,,
fund,,,,
consultant,,,,
lucrative,,,,
transact,,,,
